BOMLIST_ASR6601CB_PA_LNA_MD_V11					
No	Qty	REF	Value	Package	Note
1	1	C1	47nF	C0402	
2	1	C2	82pF	C0402	
3	9	"C3,C4,C6,C7,C10,C11,C25,C39,C57"	0.1uF	C0402	
4	6	"C5,C8,C64,C65,
C67,C68"	2.2uF	C0402	
5	2	"C9,C66"	0.01uF	C0402	
6	1	C12	0.47uF	C0402	
7	2	"C13,C14"	NC(10pF)	C0402	
8	1	C15	3.3pF	C0402	
9	2	"C16,C19"	6.0pF	C0402	
10	3	"C17,C31,C33"	12pF	C0402	
11	4	"C18,C45,C46,C47"	100pF	C0402	
12	6	"C20,C24,C26,C29,C35,C54"	1nF	C0402	
13	1	C21	20pF	C0402	
14	3	"C22,C48,C49"	NC	C0402	
15	1	C23	1uF	C0402	
16	2	"C27,C51"	2.4pF	C0402	
17	1	C28	15pF	C0402	
18	1	C30	1.0pF	C0402	
19	1	C32	2pF	C0402	
20	2	"C34,C37"	1pF	C0402	
21	1	C36	3.9pF	C0402	
22	1	C38	4.7pF	C0402	
23	3	"C40,C41,C50"	10nF	C0402	
24	1	C58	10pF	C0402	
25	1	D1	RCLAMP0531T	ESD1006_2N_mm	
26	2	"D3,D4"	PTVS5V5D1BL	ESD1006_2N_mm	
27	1	D5	1PS79SB17	ESD1006_2N_mm	
28	1	D6	PTVSUC3D3V3B	ESD1006_2N_mm	
29	1	J3	HDR	ASR6601MDPA_2800X3600_22N_mm	
30	1	L1	56nH	L0402	
31	1	L2	15uH	L2016	
32	1	L3	1.8nH	L0402	
33	1	L4	7.5nH	L0402	
34	1	L5	18nH	L0402	
35	1	L6	4.7nH	L0402	
36	1	L7	100nH/0805	L2012	
37	2	"L8,L18"	5.6nH	L0402	
38	1	L11	33nH	L0402	
39	1	L12	390nH/0603	L0603	
40	1	L14	100nH/0603	L0603	
41	2	"L15,L17"	12nH	L0402	
42	1	L16	0R	L0402	
43	5	"R1,R2,R5,R19,R34"	0R	R0402	
44	2	"R3,R36"	1K	R0402	
45	1	R6	10R	R0402	
46	1	R7	240R/0603	R0603	
47	1	R8	10k	R0402	
48	4	"R9,R10,R31,R32"	100R	R0402	
49	1	R11	0R	R0603	
50	1	R13	NC(10K)	R0402	
51	1	R14	NC(100K)	R0402	
52	1	R15	NC(47K)	R0402	
53	1	R16	NC(100R)	R0402	
54	1	R17	300R/0603	R0603	
55	10	"R21,R22,R23,R24,R25,R26,R27,R28,R29,R30"	NC(0R)	R0402	
56	1	R33	NC(5.1K)	R0402	
57	1	R35	NC(0R)	R0603	
58	1	U1	ASR6601QFN48	ASR6501_QFN40P_600X600_48N_mm	
59	1	U2	XO_32.768K	XTAL_SMD160X100_2N_mm	
60	1	U3	TCXO	OSC_SMD200X160_4N_MM	
61	1	U4	ZD1118	DFN50p_200X200_8N_mm	
62	1	U7	PE4259/ZD5402	SC50P_150X150_6N_mm	
63	1	U8	SGM2035C-3.3	LDO_DFN50P_160X160_6N_mm	
64	1	U9	XC6227C381MR-G(SGM2035C-3.3)	SOT95P_165X290_5N_mm	
65	1	U10	IPEX	Ipex	
66	1	U13	ZD9037	DFN50p_200X200_8N_mm	
